id,title,company,location,work_mode,employment_type,seniority,category,difficulty_score,description,technologies_json,skills,technologies,text_features
114,Supply Chain Data Analyst,Softvision / Cognizant Softvision,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,MID,DATA,67,"Softvision / Cognizant Softvision caută un/o Supply Chain Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Excel și va folosi în mod constant competențe precum Excel, SQL, Power BI, Process Analysis, KPI Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Power BI"", ""Excel""]","Data Visualization, Excel, KPI Analysis, Power BI, Process Analysis, SQL",Power BI Excel,"Supply Chain Data Analyst Softvision / Cognizant Softvision caută un/o Supply Chain Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Excel și va folosi în mod constant competențe precum Excel, SQL, Power BI, Process Analysis, KPI Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Data Visualization, Excel, KPI Analysis, Power BI, Process Analysis, SQL Power BI Excel"
115,Customer Insights Analyst,Sage Intacct,Cluj-Napoca,HYBRID,FULL_TIME,JUNIOR,DATA,45,"Sage Intacct caută un/o Customer Insights Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Tableau, Excel și va folosi în mod constant competențe precum SQL, Excel, Data Analysis, Tableau, Presentation Skills. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Tableau"", ""Excel""]","Communication, Data Analysis, Excel, Presentation Skills, SQL, Tableau",Tableau Excel,"Customer Insights Analyst Sage Intacct caută un/o Customer Insights Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Tableau, Excel și va folosi în mod constant competențe precum SQL, Excel, Data Analysis, Tableau, Presentation Skills. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Data Analysis, Excel, Presentation Skills, SQL, Tableau Tableau Excel"
116,Data Analytics Intern,TenarisSilcotub,Cluj-Napoca / Remote Romania,HYBRID,INTERNSHIP,INTERNSHIP,DATA,36,"TenarisSilcotub caută un/o Data Analytics Intern pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Excel, SQL, Power BI, Data Analysis, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Power BI""]","Communication, Data Analysis, Excel, Power BI, SQL",Excel Power BI,"Data Analytics Intern TenarisSilcotub caută un/o Data Analytics Intern pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Excel, SQL, Power BI, Data Analysis, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale. Communication, Data Analysis, Excel, Power BI, SQL Excel Power BI"
117,Junior Power BI Developer,Endava,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,JUNIOR,BI,51,"Endava caută un/o Junior Power BI Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Power Query și va folosi în mod constant competențe precum Power BI, DAX, SQL, Dashboard Design, Data Visualization. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Power BI"", ""Power Query""]","Dashboard Design, Data Visualization, DAX, Power BI, Power Query, SQL",Power BI Power Query,"Junior Power BI Developer Endava caută un/o Junior Power BI Developer pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Power Query și va folosi în mod constant competențe precum Power BI, DAX, SQL, Dashboard Design, Data Visualization. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Dashboard Design, Data Visualization, DAX, Power BI, Power Query, SQL Power BI Power Query"
118,Operations Reporting Analyst,Fortech,Cluj-Napoca,HYBRID,FULL_TIME,JUNIOR,BI,52,"Fortech caută un/o Operations Reporting Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Excel și va folosi în mod constant competențe precum Reporting, Excel, SQL, KPI Analysis, Process Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Power BI"", ""Excel""]","Excel, KPI Analysis, Power BI, Process Analysis, Reporting, SQL",Power BI Excel,"Operations Reporting Analyst Fortech caută un/o Operations Reporting Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Excel și va folosi în mod constant competențe precum Reporting, Excel, SQL, KPI Analysis, Process Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Excel, KPI Analysis, Power BI, Process Analysis, Reporting, SQL Power BI Excel"
119,Master Data Analyst,MHP - A Porsche Company,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,MID,DATA,64,"MHP - A Porsche Company caută un/o Master Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, SQL și va folosi în mod constant competențe precum Data Modeling, Data Quality, SQL, Excel, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""SQL""]","Data Modeling, Data Preprocessing, Documentation, Excel, SQL, Stakeholder Management",Excel SQL,"Master Data Analyst MHP - A Porsche Company caută un/o Master Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, SQL și va folosi în mod constant competențe precum Data Modeling, Data Quality, SQL, Excel, Documentation. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Data Modeling, Data Preprocessing, Documentation, Excel, SQL, Stakeholder Management Excel SQL"
120,Data Visualization Analyst,NTT DATA Romania,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,JUNIOR,BI,49,"NTT DATA Romania caută un/o Data Visualization Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Tableau și va folosi în mod constant competențe precum Dashboard Design, Power BI, Tableau, Data Visualization, KPI Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Power BI"", ""Tableau""]","Communication, Dashboard Design, Data Visualization, KPI Analysis, Power BI, Tableau",Power BI Tableau,"Data Visualization Analyst NTT DATA Romania caută un/o Data Visualization Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Power BI, Tableau și va folosi în mod constant competențe precum Dashboard Design, Power BI, Tableau, Data Visualization, KPI Analysis. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Dashboard Design, Data Visualization, KPI Analysis, Power BI, Tableau Power BI Tableau"
121,Revenue Operations Analyst,Wolters Kluwer,Cluj-Napoca,REMOTE,FULL_TIME,MID,DATA,67,"Wolters Kluwer caută un/o Revenue Operations Analyst pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Excel, Power BI și va folosi în mod constant competențe precum SQL, Excel, Data Analysis, Reporting, Problem Solving. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""SQL"", ""Excel"", ""Power BI""]","Data Analysis, Excel, Problem Solving, Reporting, SQL, Stakeholder Management",SQL Excel Power BI,"Revenue Operations Analyst Wolters Kluwer caută un/o Revenue Operations Analyst pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu SQL, Excel, Power BI și va folosi în mod constant competențe precum SQL, Excel, Data Analysis, Reporting, Problem Solving. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Data Analysis, Excel, Problem Solving, Reporting, SQL, Stakeholder Management SQL Excel Power BI"
122,Procurement Data Analyst,ARRK Research & Development,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,JUNIOR,DATA,49,"ARRK Research & Development caută un/o Procurement Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Excel, SQL, Power BI, Process Analysis, Reporting. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Power BI""]","Communication, Excel, Power BI, Process Analysis, Reporting, SQL",Excel Power BI,"Procurement Data Analyst ARRK Research & Development caută un/o Procurement Data Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Excel, SQL, Power BI, Process Analysis, Reporting. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Excel, Power BI, Process Analysis, Reporting, SQL Excel Power BI"
123,Junior Business Analyst,Yardi Romania,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,JUNIOR,BUSINESS,50,"Yardi Romania caută un/o Junior Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Confluence și va folosi în mod constant competențe precum Business Analysis, Requirements Gathering, Documentation, Communication, Stakeholder Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Jira"", ""Confluence""]","Business Analysis, Communication, Documentation, Jira, Requirements Gathering, Stakeholder Management",Jira Confluence,"Junior Business Analyst Yardi Romania caută un/o Junior Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Confluence și va folosi în mod constant competențe precum Business Analysis, Requirements Gathering, Documentation, Communication, Stakeholder Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Business Analysis, Communication, Documentation, Jira, Requirements Gathering, Stakeholder Management Jira Confluence"
124,Functional Business Analyst,SDL / RWS Group,Cluj-Napoca,HYBRID,FULL_TIME,MID,BUSINESS,71,"SDL / RWS Group caută un/o Functional Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, SQL și va folosi în mod constant competențe precum Business Analysis, Requirements Gathering, Process Analysis, Documentation, SQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Jira"", ""SQL""]","Business Analysis, Documentation, Process Analysis, Requirements Gathering, SQL, Stakeholder Management",Jira SQL,"Functional Business Analyst SDL / RWS Group caută un/o Functional Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, SQL și va folosi în mod constant competențe precum Business Analysis, Requirements Gathering, Process Analysis, Documentation, SQL. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Business Analysis, Documentation, Process Analysis, Requirements Gathering, SQL, Stakeholder Management Jira SQL"
125,Product Analyst,Siemens,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,MID,BUSINESS,67,"Siemens caută un/o Product Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Power BI și va folosi în mod constant competențe precum Product Management, SQL, Data Analysis, Stakeholder Management, Agile. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Jira"", ""Power BI""]","Agile, Business Analysis, Data Analysis, KPI Analysis, SQL, Stakeholder Management",Jira Power BI,"Product Analyst Siemens caută un/o Product Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Power BI și va folosi în mod constant competențe precum Product Management, SQL, Data Analysis, Stakeholder Management, Agile. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Agile, Business Analysis, Data Analysis, KPI Analysis, SQL, Stakeholder Management Jira Power BI"
126,Project Management Intern,Cognizant Romania,Cluj-Napoca Metropolitan Area,HYBRID,INTERNSHIP,INTERNSHIP,PM,32,"Cognizant Romania caută un/o Project Management Intern pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Jira și va folosi în mod constant competențe precum Project Management, Planning, Coordination, Communication, Excel. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Jira""]","Agile, Communication, Coordination, Excel, Planning, Project Management",Excel Jira,"Project Management Intern Cognizant Romania caută un/o Project Management Intern pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Jira și va folosi în mod constant competențe precum Project Management, Planning, Coordination, Communication, Excel. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel internship și contribuie direct la proiecte locale sau internaționale. Agile, Communication, Coordination, Excel, Planning, Project Management Excel Jira"
127,Junior Project Coordinator,3Pillar Global,Cluj-Napoca,REMOTE,FULL_TIME,JUNIOR,PM,50,"3Pillar Global caută un/o Junior Project Coordinator pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, MS Project și va folosi în mod constant competențe precum Project Management, Coordination, Planning, Risk Management, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""MS Project""]","Communication, Coordination, Excel, Planning, Project Management, Risk Management",Excel MS Project,"Junior Project Coordinator 3Pillar Global caută un/o Junior Project Coordinator pentru echipele din Cluj-Napoca, cu activitate în regim remote. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, MS Project și va folosi în mod constant competențe precum Project Management, Coordination, Planning, Risk Management, Communication. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Communication, Coordination, Excel, Planning, Project Management, Risk Management Excel MS Project"
128,Agile Business Analyst,Bosch Romania,Cluj-Napoca / Remote Romania,HYBRID,FULL_TIME,MID,BUSINESS,72,"Bosch Romania caută un/o Agile Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Confluence și va folosi în mod constant competențe precum Agile, Scrum, Requirements Gathering, Business Analysis, Jira. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale.","[""Jira"", ""Confluence""]","Agile, Business Analysis, Communication, Jira, Requirements Gathering, Scrum",Jira Confluence,"Agile Business Analyst Bosch Romania caută un/o Agile Business Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Jira, Confluence și va folosi în mod constant competențe precum Agile, Scrum, Requirements Gathering, Business Analysis, Jira. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel mid și contribuie direct la proiecte locale sau internaționale. Agile, Business Analysis, Communication, Jira, Requirements Gathering, Scrum Jira Confluence"
129,Process Analyst,Accenture Romania,Cluj-Napoca Metropolitan Area,HYBRID,FULL_TIME,JUNIOR,BUSINESS,45,"Accenture Romania caută un/o Process Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Process Analysis, Documentation, Excel, Power BI, Stakeholder Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale.","[""Excel"", ""Power BI""]","Documentation, Excel, Power BI, Problem Solving, Process Analysis, Stakeholder Management",Excel Power BI,"Process Analyst Accenture Romania caută un/o Process Analyst pentru echipele din Cluj-Napoca, cu activitate în regim hybrid. Rolul presupune colaborare cu stakeholderi tehnici și business pentru livrarea de soluții digitale, rapoarte sau funcționalități software relevante. Candidatul va lucra cu Excel, Power BI și va folosi în mod constant competențe precum Process Analysis, Documentation, Excel, Power BI, Stakeholder Management. Responsabilitățile includ analiză de cerințe, documentare, implementare sau testare, în funcție de specificul rolului. Sunt importante comunicarea clară, atenția la detalii și capacitatea de a transforma informațiile operaționale în rezultate acționabile. Experiența cu instrumente moderne, versionare, lucru Agile și colaborare cross-functională reprezintă un avantaj. Poziția este potrivită pentru nivel junior și contribuie direct la proiecte locale sau internaționale. Documentation, Excel, Power BI, Problem Solving, Process Analysis, Stakeholder Management Excel Power BI"
